AppID,PCI Flag,Findings in Sept - December Logs,Data Classification,NGDC Neighborhood,LOB,PAN Example - For Email,Stated Upstream Source
JAED,NO,True PAN,CONFIDENTIAL,NH02 - Core Banking CDE,CT,BANK OF AMERICA QRMT Pymt 251001 LEGACIES L 547415xxxxxx3269 00 3001190310 LEGACIE TD BANK PAYMENT 251009 MUHAMMAD 483950xxxxxx4513 8222486057 MUHAMMA [...],JDH
JAGC,NO,True PAN,INTERNAL USE,NH03 - Digital Channels CDE,DTI,"xxxxxxx"""",""""affiliateSearchRequest"""":{""""q"""":""""debit card 434258xxxxxx0181"""",""""language"""":""""EN"""",""""site"""":""""live_secure_common_collec """":""""Affiliate Search results not found for query '414718xxxxxx0179': {}"""",""""object"""":""""com.wellsfargo.caes.common.del [...]",
JAOCP,NO,True PAN,INTERNAL USE,NH10 - Consumer Lending CDE,CT,"""""UNQ_ACCT_ID"""", """"oldValue"""": null, """"value"""": """"438654xxxxxx7848|null|null|null|null|null|null|null|WACH|WFHE""""}, { [...]",PCOZ
JBFN,NO,True PAN,CONFIDENTIAL,NH02 - Core Banking CDE,CT,TD BANK PAYMENT 251121 ROBERT M COLAJE 600610xxxxxx3513 0000000000WEB40101 ick Bank ACH PYMT 251121 00793 542539xxxxxx0779 \xFE\xB50000000793 BANK OF AMERICA QRMT Pymt 251121 MATTRESS C 433993xxxxxx4679 00 0000000000CCD30011 [...],UA
JBYP,NO,True PAN,INTERNAL USE,NH06 - Wholesale Banking CDE,TCOO,"rif;"""">Account number: &nbsp;Business credit card: 558668xxxxxx4243, Busine="""",""""origin"""":""""rep"""",""""source_instance"""":""""0"""",""""so fargo.com, subject=Re: Sunrise Auto Center - acct# 558517xxxxxx9091}, workflow=Old, linkedScheduledEvent=false, schedu 4f81921d"""",""""message_type"""":""""OUT"""",""""msg"""":""""credit card: 55866 emails [...]",
JCOC,NO,True PAN,INTERNAL USE,NH05 - Enterprise Services CDE,DTI,] - checkForUpdates removing the inactive keyword: 4342-58xx-xxxx-4770 FROM pvsi/ [1] successful,
JEQPM,NO,True PAN,CONFIDENTIAL,#N/A,CCIBT,"""""09/18/2025"""",""""memo"""":""""CHASE CARD SERVICES~ACCT #4388 57xx xxxx 5103"""",""""status"""":""""Y"""",""""item_number"""":4},{""""company_i """",""""payeeName"""":""""WELLS FARGO / Acct# 5569 39xx xxxx 5204",User Entry
JEQZT,NO,True PAN,RESTRICTED,NH14 - PAA (DMZ) CDE,DTI,"""""pe"""":""""wemTopic"""",""""message"""":""""key=accountnumber, value=558668xxxxxx8026"""",""""timestamp"""":""""2025-11-03T12:15:04.564-08:00""""},""""ori"" [...]",User Entry
JEQZY,NO,True PAN,CONFIDENTIAL,#N/A,CCIBT,"e"""":"""",""""adjustmentReasonCodeLock"""":false,""""entityId"""":""""446542xxxxxx4011"""",""""transactionCrossReference"""":"""",""""accountNumber"""":""""1 """",""""transactionCrossReference"""":"""",""""accountNumber"""":""""434256xxxxxx1191"""",""""noteReferenceCodeLock"""":false,""""transactionType"""": one"""",""""emailAddress"""":"""",""""addendalnform [...]",User Entry
JFO,NO,True PAN,CONFIDENTIAL,#N/A,DTI,"iRtnNorm FETCH FIRST 1 ROWS ONLY {rcptAcctNbrNorm=434256xxxxxx0039, rcptFiRtnNorm=121042882}"""",""""logger_name"""":""""com.well [...]",
JHTSS,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,"umber exists in FDR-SHAW map. FDR Account Number : 442518xxxxxx1059, SHAW Account Number : 68168191553421998"""",""""origin"""" [...]",
JLF,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,/unpaidLateChgAmt><acqCode>W7</acqCode><auxNumCode>438654xxxxxx1915</auxNumCode><bcrProdCode>FTL1</bcrProdCode><closin [...],
JLFXM,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,( Is SBL Visa Credit Card) /unpaidLateChgAmt><acqCode>G1</acqCode><auxNumCode>442518xxxxxx9593</auxNumCode><bcrProdCode>LAT2</bcrProdCode><closin [...],SAYC
JMT,NO,True PAN,INTERNAL USE,NH06 - Wholesale Banking CDE,CCIBT,"(This is not a DDA account number, This is our WF Active Cash or Reflect Consumer) CC""""branch"""":""""01"""",""""accountType"""":""""DDA"""",""""accountNumber"""":""""414718xxxxxx0138"""",""""accountName"""":"""". """",""""routingNumber"""":""""121000248"""",""""cc [...]",
JNJX,NO,True PAN,CONFIDENTIAL,NH02 - Core Banking CDE,CT,"Wells Fargo Customer\\"""",\\""""AccountNumber\\"""":\\""""577442xxxxxx1630\\"""",\\""""SubmitterAccountingUnit\\"""":\\""""0159714\\\ plaintFrom=Non-Wells Fargo Customer, AccountNumber=577442xxxxxx1630, SubmitterAccountingUnit=0159714, EOEscalatedProdu , ComplaintFrom=Customer - Consumer, AccountNumber=442644xxxxxx6953, SubmitterAccounting [...]",
JRGNS,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,"URNISHER"""",""""terms"""":""""REV""""},{""""accountNumber"""":""""577442xxxxxx9048"""",""""accountType"""":""""07"""",""""amount1"""":""""00017000"""", [...]",Credit Bureaus
JSEK,NO,True PAN,CONFIDENTIAL,NH09 - Assisted Channels CDE,TCOO,"ardVerificationResults"""": """"06061203A0"""", """"card_no"""": """"473702xxxxxx0483"""", """"cashbackAmount"""": 0, """"city_name_fuzz"""": """"AUSTIN"""", """"payeeAliasKey"""": null, """"payeeDataAccountNumber"""": """"446540xxxxxx4010"""", """"payeePartyKey"""": null}, """"onlineDeviceIdentifiers [...]",ZTEYM
JSVKR,NO,True PAN,CONFIDENTIAL,#N/A,TCOO,"""""N> <companyNumber></companyNumber> <accountNumber>577442xxxxxx1868</accountNumber> <serialNumber></serialNumber> </a <accountNumber>473702xxxxxx2623</accountNumber>"""" , """"CIV [...]",OJ
JSVCH,NO,True PAN,PROPRIETARY EXTERNAL,NH10 - Consumer Lending CDE,CT,er><productCode>XDC</productCode><accountId> 432749xxxxxx2679</accountId></PLCI3><PLCI4><lastStatementDate>20251 ?????????????????????PLCI3_OS?00??448?XDC? 432749xxxxxx4700??PLCI4_OS?00??20251117????20251126??PLCI5_O1?00???,
JTTCTL,YES,Updated BAM,CONFIDENTIAL,#N/A,TCOO,"accountNbr"""": """"414718xxxxxx1939",
KCO,NO,True PAN,INTERNAL USE,NH05 - Enterprise Services CDE,DTI,"98 BUSINESS ELITE CREDIT CARD $50 000 ACCOUNT NO 4484 61xx xxxx 7925 .msg','Nickname'=?,'ParentID'=144099805,'PartialD [...]",Credit Bureaus
KDUZ,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,"_1""""><LIABILITY_DETAIL><LiabilityAccountIdentifier>414718xxxxxx7850</LiabilityAccountIdentifier><LiabilityExclusionInd [...]",HPU
KIRB,NO,True PAN,CONFIDENTIAL,NH02 - Core Banking CDE,TCOO,""""", W8_STATUS FROM dbo.DIPR_IDX_TAB WHERE (IDENT = N'446542xxxxxx6771') AND (ACT_REP IS NULL OR ACT_REP <> N'X') AND (VS"" , ""Hogan CIS, EBSFM, ECPR [...]",User Entry
KPO,NO,True PAN,PROPRIETARY EXTERNAL,NH03 - Digital Channels CDE,DTI,entKey>1</commentKey><text>Pmt made to credit card 446540xxxxxx0332</text><effectiveInterval><startDate>2006-11-14</st [...],
KTEYN,NO,True PAN,INTERNAL USE,NH08 - Data and Analytics Neighborhood,CDO,09-18' and MM_CHD_FULL_ACCT_NO_CHD_ACCOUNT_NUMBER='543693xxxxxx5848',Written in documents
LCUZ,NO,True PAN,CONFIDENTIAL,NH05 - Enterprise Services CDE,DTI,cludes the VISA signature logo. The card number is 4400 66xx xxxx 9033 and is valid through 04/24. The cardholder since y [...],
LDR,NO,True PAN,CONFIDENTIAL,NH14 - PAA (DMZ) CDE,CT,"""tCode>XCC</ns5:hoganProductCode><ns5:accountNumber>414718xxxxxx8217</ns5:accountNumber></ns5:acctKey></ns5:elementValu tCode>XCC</ns5:hoganProductCode><ns5:accountNumber>547464xxxxxx9675</ns5:accountNumber></ns5:acctKey></ns5:elementValu""",
LDUCG,NO,True PAN,INTERNAL USE,#N/A,CTO,"D_STAT_CD in ('1','2','3')#015#015and CARD_NUM = 473702xxxxxx9262#015#015group by 1,2#015#015having count (distinct 2 = Commercial ) */#015#011#011--and e.card_num = 434256xxxxxx8716#015#011qualify row_number()over(partition by e.car [...]",User Entry
LMQX,NO,True PAN,INTERNAL USE,#N/A,CS,"505 Island Ct.\nIndian Harbour Beach, FL 32937\nCC#4147-18xx-xxxx-6020\n\nThank you.\n\n\n\nChip\n\n\n\n----- Forwarded M [...]",User Entry
LPFR,NO,True PAN,INTERNAL USE,NH07 - Global Pay and Liquidity CDE,CCIBT,"ntAccountIdentification"""",""""referenceKeyValue"""":[""""558668xxxxxx1766""""]},{""""referenceKeyField"""":""""TE.debtorAccountIdent [...]",Written in documents
LSR1,NO,True PAN,INTERNAL USE,NH01 - Tech Enablement CDE,CS,"S-Ruperto Serna-1040-6A 2024,2023, Loan Number\r\n 414718xxxxxx0057 request-Order ID 42655425""""], """"from"""": [""""<support@da .prod.outlook.com>""""], """"subject"""": [""""Re James Keefe _414718xxxxxx4975""""]}, """"normalizedHeader"""": {""""subject"""": [""""Re James Kee bject=""""RE: Error ID: E-00006443 for account number 41471 [...]",
LZRKY,NO,True PAN,CONFIDENTIAL,NH10 - Consumer Lending CDE,CT,""""".""""""***********5986""""},""""accountNumberDisplay"""":""""483313xxxxxx6041"""",""""accountNumberEncrypted"""":""""atKcBUPkZe/MRpeoy/K """":""""""***********2552""""},""""accountNumberDisplay"""":""""447305xxxxxx2552"""",""""accountNumberEncrypted"""":""""8NOxcx9TPtVM8aghWQG argo.com/entity/account/2003/""""><ns3:accountNumber>530706xxxxxx0193</ns3:accour [...]",
